Fecha,Reserva (hm3)
17/12/2017,36.92
18/12/2017,36.9
19/12/2017,36.85
20/12/2017,36.78
21/12/2017,36.74
22/12/2017,36.68
23/12/2017,36.68
24/12/2017,36.58
25/12/2017,36.6
26/12/2017,36.55
27/12/2017,36.54
28/12/2017,36.49
29/12/2017,36.54
30/12/2017,36.54
31/12/2017,36.55
01/01/2018,36.54
02/01/2018,36.49
03/01/2018,36.48
04/01/2018,36.35
05/01/2018,36.33
06/01/2018,36.25
07/01/2018,36.29
08/01/2018,36.31
09/01/2018,36.36
10/01/2018,36.38
11/01/2018,36.35
12/01/2018,36.34
13/01/2018,36.35
14/01/2018,36.37
15/01/2018,36.4
16/01/2018,36.38
17/01/2018,36.37
18/01/2018,36.38
19/01/2018,36.39
20/01/2018,36.35
21/01/2018,36.39
22/01/2018,36.37
23/01/2018,36.42
24/01/2018,36.35
25/01/2018,36.37
26/01/2018,36.35
27/01/2018,36.35
28/01/2018,36.27
29/01/2018,36.29
30/01/2018,36.25
31/01/2018,36.24
01/02/2018,36.17
02/02/2018,36.15
03/02/2018,36.11
04/02/2018,36.1
05/02/2018,36.05
06/02/2018,36.04
07/02/2018,35.94
08/02/2018,35.9
09/02/2018,35.91
10/02/2018,35.87
11/02/2018,35.81
12/02/2018,35.79
13/02/2018,35.76
14/02/2018,35.74
15/02/2018,35.68
16/02/2018,35.62
17/02/2018,35.63
18/02/2018,35.58
19/02/2018,35.58
20/02/2018,35.54
21/02/2018,35.53
22/02/2018,35.49
23/02/2018,35.41
24/02/2018,35.46
25/02/2018,35.42
26/02/2018,35.39
27/02/2018,35.39
28/02/2018,35.34
01/03/2018,35.57
02/03/2018,37.8
03/03/2018,44.53
04/03/2018,45.75
05/03/2018,48.45
06/03/2018,49.63
07/03/2018,50.22
08/03/2018,50.87
08/03/2018,50.87
09/03/2018,52.23
10/03/2018,52.82
11/03/2018,53.83
12/03/2018,54.75
13/03/2018,55.36
14/03/2018,55.9
15/03/2018,56.3
16/03/2018,57
17/03/2018,57.44
18/03/2018,59.62
19/03/2018,61.06
20/03/2018,62.23
21/03/2018,62.98
22/03/2018,63.61
23/03/2018,64.16
24/03/2018,64.62
25/03/2018,65.15
26/03/2018,65.82
27/03/2018,66.26
28/03/2018,65.8
29/03/2018,66.11
30/03/2018,66.42
31/03/2018,66.71
01/04/2018,66.94
02/04/2018,67.14
03/04/2018,67.37
04/04/2018,67.57
05/04/2018,67.72
06/04/2018,67.89
07/04/2018,68.03
08/04/2018,68.18
09/04/2018,68.31
10/04/2018,68.42
11/04/2018,68.87
12/04/2018,69.22
13/04/2018,69.87
14/04/2018,70.75
15/04/2018,71.19
16/04/2018,71.56
17/04/2018,71.85
18/04/2018,72.08
19/04/2018,72.29
20/04/2018,72.49
21/04/2018,72.69
22/04/2018,72.87
23/04/2018,72.97
24/04/2018,73.18
25/04/2018,73.29
26/04/2018,73.45
27/04/2018,73.62
28/04/2018,73.73
29/04/2018,73.82
30/04/2018,73.93
01/05/2018,74
02/05/2018,74.08
03/05/2018,74.17
04/05/2018,74.2
05/05/2018,74.27
06/05/2018,74.31
07/05/2018,74.38
08/05/2018,74.41
09/05/2018,74.62
10/05/2018,74.62
11/05/2018,74.65
12/05/2018,74.65
13/05/2018,74.65
14/05/2018,74.63
15/05/2018,74.62
16/05/2018,74.62
17/05/2018,74.62
18/05/2018,74.59
19/05/2018,74.55
20/05/2018,74.55
21/05/2018,74.55
22/05/2018,74.59
23/05/2018,74.49
24/05/2018,74.49
25/05/2018,74.44
26/05/2018,74.38
27/05/2018,74.32
28/05/2018,74.27
29/05/2018,74.24
30/05/2018,74.2
31/05/2018,74.14
01/06/2018,74.06
02/06/2018,74
03/06/2018,73.96
04/06/2018,73.89
05/06/2018,73.79
06/06/2018,73.68
07/06/2018,73.6
08/06/2018,73.52
09/06/2018,73.42
10/06/2018,73.34
11/06/2018,73.25
12/06/2018,73.13
13/06/2018,73.04
14/06/2018,72.9
15/06/2018,72.79
16/06/2018,72.7
